,CommentHead,Comment,Rating
0,Classy product,Very nice product,5
1,Good choice,Too good,4
2,Fabulous!,Good products,5
3,Hated it!,Very bad products,1
4,Super!,Sorry,5
5,Mind-blowing purchase,Healthy,5
6,Hated it!,Bad quality,1
7,Bad quality,Very bad juicer it's doesn't work properly like it's not grind joose properly.,2
8,Perfect product!,Its very good,5
9,Perfect product!,Nice product,5
10,Horrible,worst product,1
11,Nice,Ideal for orange juice only. You will struggle for pomegranate juice.,3
12,Simply awesome,Awesome,5
13,Expected a better product,Bad,2
14,Unsatisfactory,Poor,1
15,Wonderful,Very good👍 product,4
16,Just wow!,Nice,5
17,Did not meet expectations,The juicer was damaged,1
18,Awesome,Thanks to Filpkart for replacement and quick delivery.Item was ok now.working satisfactory.,5
19,Expected a better product,Awsm item..but i got  broken glass..otherwise all gud,2
20,Perfect product!,Wow,5
21,Did not meet expectations,"This product is not used to hard fruit. As carrot, spinach, nd pomgrant",1
22,Just okay,Good .....,3
23,Good quality product,Really works good and good quality,4
24,Good,Average 🙁,3
25,Brilliant,Superb product....,5
26,Slightly disappointed,Broken in 2 months.,2
27,Super!,Niccccc,5
28,Slightly disappointed,Very disappointed.....broken on first use,2
29,Absolute rubbish!,Not worked as expected.,1
30,Very poor,It was broken,1
31,Very Good,"It’s good for juicy fruits like orange,  but not not carrots",4
32,Worth every penny,This one is very good produce,5
33,Wonderful,Nic,4
34,Terrific purchase,Super,5
35,Excellent,"It was nice, good quality thanks flipkart",5
37,Wonderful,Good,5
38,Mind-blowing purchase,Nice,5
39,Does the job,Good,3
40,Useless product,Very nice 👍,1
41,Really Nice,Nice product,4
42,Good choice,Good,4
43,Super!,Excellent product,5
44,Perfect product!,Good juicer fruit making mixed nycc,5
45,Don't waste your money,Very very bad juicer,1
46,Terrific purchase,Ok,5
47,Terrible product,Very bad,1
48,Waste of money!,Waste product,1
49,Waste of money!,Bad,1
50,Just okay,This juicer is very bad,3
51,Super!,Good produced,5
52,Bad quality,Not good,2
53,Worth every penny,Super,5
54,Excellent,Very nice 👌👌👌👌👌,5
55,Worst experience ever!,Bad,1
56,Fabulous!,Very nice juicer . Value for money... just love this,5
57,Slightly disappointed,Waste money bad product,2
58,Super!,good,5
59,Perfect product!,Just Amazing  Super👌👌,5
60,Terrific purchase,Very nice,5
61,Worthless,Bad product,1
62,Waste of money!,Very bad,1
63,Useless product,Very worst quality,1
64,Horrible,Very bad product don't buy it plz,1
65,Not recommended at all,Bad bad...............,1
66,Horrible,Worst product,1
67,Nice,Good product...Go for it...,3
68,Just okay,Not very good.,3
69,Nice product,Good product,4
70,Excellent,Fantastic,5
71,Worth every penny,Good,5
72,Decent product,not for hard use,3
73,Does the job,Average product,3
74,Super!,Super,5
75,Highly recommended,Super super ❤️❤️,5
76,Super!,Very good,5
77,Terrific purchase,Nice jodi,5
78,Good,Very nice product But I get a used product,3
79,Worth the money,Ok I'm reviewing this after using! It's a really good hand juicer grinder! But when u gonna try to wash it u might have some trouble!,4
80,Simply awesome,Good,5
81,Awesome,Osm Quality product,5
82,Does the job,Not so good,3
83,Brilliant,Better,5
84,Good quality product,Value for money,4
85,Great product,Tnx,5
86,Terrific,Must buy,5
87,Must buy!,Nice,5
88,Worth the money,Good,4
89,Absolute rubbish!,Use less product..😬,1
91,Horrible,The product is not good. It is no t doing work properly. I am not happy from this product 😟😟😟,1
92,Classy product,Good,5
93,Highly recommended,Good,5
94,Very Good,Original product,4
95,Delightful,Good,4
96,Wonderful,"Good product,I like it",4
97,Useless product,Useless product,1
98,Wonderful,Very good prodect,5
99,Good choice,Good quality,4
100,Useless product,It broke after using 2 times,1
101,Very Good,Very good,4
102,Fair,Not bad,3
103,Just wow!,Ok,5
105,Horrible,Not good product,1
106,Did not meet expectations,Not for use,1
107,Good,Plastic is weak. Product is ok for orange and kinnow. Leakage is an issue.,3
108,Super!,Nice product 👌,5
109,Worth every penny,This is amazing product,5
110,Best in the market!,Very good juicer I like it,5
111,Good choice,Nice,4
112,Just wow!,Good,5
113,Useless product,Bad product,1
114,Utterly Disappointed,Sooo bad quality,1
115,Simply awesome,Great product.. great services..,5
116,Fabulous!,Awesome,5
117,Classy product,Nice products,5
118,Terrific,Gud one,5
119,Decent product,Good,3
120,Decent product,Super,3
121,Worth every penny,I like it,5
122,Nice product,Excellent,4
123,Slightly disappointed,Not a perfect work,2
124,Excellent,Osm product in this range as compare to market price and range also . Truly satisfied 100%,5
125,Wonderful,Very gud product in this price,5
126,Terrific,Good quality,5
127,Value-for-money,nyc,4
